ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2132006,M050UB92BRT2,459712,15 UB92 130SWB321,8815,1,24610037,17446840,1,134,750,29.20000076,26.60000038,24.20000076,1.49000001,1.5,9.100000381,9.899999619,-0.845000029,590
2131345,M050UB93BRT1,1161207,15 UB93 030SWB421,8821,1,22610332,17446774,1,128,750,29.89999962,25.20000076,23.39999962,1.49000001,1.5,10.5,10.5,-1.144000053,574
2131898,M050UB92BRT2,459707,15 UB92 130SWB521,8817,1,24610412,17446840,1,267,750,30.5,26.20000076,23.39999962,1.700000048,1.700000048,10.10000038,9.600000381,-0.633000016,605
2131185,M050UB93BRT1,1161209,15 UB93 030SWB521,8822,1,22610411,17446774,1,319,750,30.20000076,27.79999924,24.79999924,1.50999999,1.5,9.399999619,9.199999809,-0.68599999,629
2130649,M050UB93BRT1,1161208,15 UB93 030SWB121,8819,1,22620082,17446774,1,58,750,30,26,24,1.49000001,1.5,9.600000381,9.600000381,-0.757000029,592
2131346,M050UB93BRT1,1161210,15 UB93 030SWB421,8821,1,22610190,17446774,1,346,750,29.89999962,26.20000076,23.20000076,1.49000001,1.5,10,10,-0.967999995,595
2131899,M050UB92BRT2,459711,15 UB92 130SWB521,8817,1,24610013,17446840,1,32,750,30.20000076,24.20000076,23,1.700000048,1.700000048,9.899999619,9.699999809,-0.59799999,559
2131186,M050UB93BRT1,1161211,15 UB93 030SWB521,8822,1,22610016,17446774,1,45,750,30.70000076,28.20000076,25.20000076,1.49000001,1.5,10.5,9.699999809,-1.108999968,645
2130650,M050UB93BRT1,1161212,15 UB93 030SWB121,8819,1,22610077,17446774,1,106,750,30.20000076,25,23.60000038,1.49000001,1.5,10.19999981,10,-1.021000028,573
2131347,M050UB93BRT1,1161213,15 UB93 030SWB421,8821,1,22610196,17446774,1,40,750,30.39999962,25.20000076,23.20000076,1.50999999,1.5,9.699999809,9.199999809,-0.739000022,578
